RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,debt_to_income,total_late_payments,credit_utilization_risk,actual_default,default_probability,credit_score
0.168826405,62,0,0.313863546,10083.0,13,0,1,0,0.0,3164.686134318,0,0,0,0.086391255,555
0.574030426,30,0,0.322085117,3970.0,9,0,1,0,0.0,1278.67791449,0,1,0,0.08517743,555
0.244880762,63,2,0.406865061,6350.0,14,0,3,0,0.0,2583.59313735,2,0,1,0.23403855,521
0.9999999,46,1,4434.0,5400.0,5,0,2,0,0.0,23943600.0,1,2,0,0.24681254,519
0.011933068,48,0,0.225393805,9458.0,14,0,1,0,1.0,2131.77460769,0,0,0,0.051755436,571
0.147711678,65,0,0.128289474,2735.0,10,0,0,0,0.0,350.87171139,0,0,0,0.10069198,550
0.503966402,39,0,0.945621751,2500.0,11,0,2,0,1.0,2364.0543775,0,1,0,0.11521846,545
0.708458975,49,2,0.214197404,9705.0,12,0,0,2,4.0,2078.78580582,4,2,0,0.41049322,497
0.276054839,54,0,8260.0,5400.0,10,0,2,0,0.0,26384400.0,0,0,0,0.10051254,550
0.39120923,53,0,0.314263774,10417.0,17,0,1,0,0.0,3273.685733758,0,1,0,0.034297056,583
0.090007811,49,0,0.516639269,23000.0,17,0,4,0,2.0,11882.703187000001,0,0,0,0.089858204,553
0.030323232,36,1,0.073493876,12000.0,4,0,0,0,0.0,881.926512,1,0,0,0.02674559,590
0.605087182,41,0,0.605583071,2220.0,7,0,1,0,2.0,1344.39441762,0,1,0,0.099559434,550
0.120499294,45,0,0.193215632,5040.0,14,0,0,0,0.0,973.80678528,0,0,0,0.2964041,512
0.751730621,48,5,0.308338332,1666.0,13,0,0,0,2.0,513.691661112,5,2,1,0.27009338,515
0.004457058,49,0,2766.0,5400.0,10,0,1,0,0.0,14936400.0,0,0,0,0.02333361,594
0.83719789,46,3,0.249216535,6700.0,6,1,1,1,3.0,1669.7507845,5,2,0,0.81259394,444
0.230126478,50,0,0.634287366,3458.0,7,0,2,0,0.0,2193.365711628,0,0,0,0.09980167,550
0.169859553,55,0,0.139361385,3350.0,8,0,0,0,1.0,466.86063975,0,0,0,0.07142916,561
0.111826378,50,0,0.154754762,23000.0,17,0,2,0,2.0,3559.3595259999997,0,0,0,0.05683019,568
0.632259112,77,0,0.474204947,4244.0,11,0,1,0,0.0,2012.525795068,0,1,0,0.02504367,592
0.0,76,0,0.062032263,6012.0,7,0,0,0,1.0,372.93796515599996,0,0,0,0.012067768,614
0.827052558,36,0,0.220602527,4115.0,8,0,0,0,2.0,907.779398605,0,2,0,0.27673852,514
0.66937646,51,0,1.106946225,13258.0,23,0,2,0,2.0,14675.89305105,0,1,1,0.10851777,547
0.333992374,36,2,0.338357795,10083.0,8,0,2,0,3.0,3411.661646985,2,1,0,0.048107438,573
0.9999999,28,0,0.20326766,2080.0,2,0,0,0,1.0,422.7967328,0,2,0,0.2426492,519
0.661451543,26,0,0.05956059,5825.0,6,0,0,0,4.0,346.94043675,0,1,0,0.03819662,580
0.879330362,34,0,0.332458443,8000.0,9,0,2,0,2.0,2659.667544,0,2,0,0.105860166,548
0.804884832,37,2,0.322413104,5005.0,23,0,0,0,2.0,1613.67758552,2,2,1,0.5788137,477
0.377160304,44,1,0.891555422,6666.0,10,0,2,0,1.0,5943.108443052,1,1,0,0.14636362,538
0.02728166,42,0,377.0,5400.0,4,0,0,0,0.0,2035800.0,0,0,0,0.030305713,587
0.0,63,0,0.538795442,16586.0,15,0,3,0,1.0,8936.461201012,0,0,0,0.013294307,611
0.9999999,41,0,332.0,5400.0,2,0,0,0,0.0,1792800.0,0,2,0,0.28878003,513
0.157900794,68,0,1844.0,5400.0,9,0,2,0,0.0,9957600.0,0,0,0,0.019094791,600
0.157719455,57,0,0.211451101,11666.0,12,0,2,0,1.0,2466.788544266,0,0,0,0.040608592,578
0.952039643,52,0,0.360458453,6979.0,12,0,2,0,1.0,2515.639543487,0,2,0,0.12612346,542
0.178550565,53,0,0.272410455,10329.0,11,0,1,0,0.0,2813.727589695,0,0,0,0.09434826,552
0.023410572,56,0,2576.0,5400.0,17,0,2,0,0.0,13910400.0,0,0,0,0.019433014,600
0.286095187,42,0,0.264635888,2100.0,2,0,0,0,2.0,555.7353648,0,0,0,0.13239269,541
0.27866852,42,0,0.539243459,6000.0,9,0,2,0,4.0,3235.460754,0,0,0,0.02346275,594
0.218079196,69,0,1559.0,5400.0,13,0,2,0,0.0,8418600.0,0,0,0,0.04026635,578
0.081727997,45,0,0.342741254,11833.0,11,0,2,0,1.0,4055.657258582,0,0,0,0.12099875,544
0.046865104,58,0,1973.0,5400.0,4,0,2,0,0.0,10654200.0,0,0,0,0.017821433,602
0.0,52,3,0.18717023,3600.0,7,0,1,0,0.0,673.812828,3,0,0,0.34354967,505
0.007740597,31,0,0.092984503,6000.0,6,0,0,0,2.0,557.907018,0,0,0,0.017598223,603
0.325979221,63,0,0.288244453,5137.0,5,0,1,0,0.0,1480.711755061,0,1,0,0.01711867,603
0.012376157,86,0,33.0,5400.0,13,0,0,0,0.0,178200.0,0,0,0,0.009322296,621
0.888822236,59,0,0.324446814,3750.0,9,0,0,0,3.0,1216.6755524999999,0,2,0,0.16498153,533
0.11938366,53,0,0.268210368,10666.0,18,0,1,0,4.0,2860.731785088,0,0,0,0.019475602,600
0.041948159,64,0,1513.0,5400.0,16,0,1,0,0.0,8170200.0,0,0,0,0.026099987,591
0.352794998,54,1,8151.0,5400.0,13,0,3,0,4.0,26384400.0,1,1,0,0.06545116,563
0.020370535,71,0,0.323558814,3000.0,28,0,1,0,0.0,970.676442,0,0,0,0.04801531,573
0.091408666,45,0,0.166023166,3366.0,8,0,1,0,2.0,558.833976756,0,0,0,0.016593924,604
0.47752827,73,0,1.170651818,3052.0,29,0,2,0,0.0,3572.829348536,0,1,0,0.061626464,565
0.077857023,52,0,0.309483726,7127.0,4,0,1,0,3.0,2205.690515202,0,0,0,0.007209348,629
0.0,40,0,1270.0,5400.0,11,0,1,0,1.0,6858000.0,0,0,0,0.008463319,624
0.038187238,41,0,0.420698633,9217.0,4,0,2,0,0.0,3877.5793003609997,0,0,0,0.04333565,576
0.112635434,49,0,0.223050354,5500.0,7,0,0,0,1.0,1226.776947,0,0,0,0.11677508,545
0.066300832,63,0,1410.0,5400.0,9,0,1,0,0.0,7614000.0,0,0,0,0.014952185,607
0.122707297,32,0,0.390742872,7820.0,16,0,2,0,1.0,3055.6092590400003,0,0,1,0.10955006,547
0.776351971,47,0,0.390318054,4275.0,9,0,2,0,3.0,1668.6096808500001,0,2,0,0.039449368,579
0.181718588,67,0,0.615310775,4166.0,8,0,1,0,0.0,2563.38468865,0,0,0,0.09456667,552
0.9999999,49,0,0.148140068,9166.0,2,0,0,0,0.0,1357.8518632880002,0,2,0,0.21948363,523
0.060478954,70,0,0.042526182,3150.0,3,0,0,0,0.0,133.9574733,0,0,0,0.021738773,596
0.029012904,46,0,1194.0,5400.0,7,0,1,0,0.0,6447600.0,0,0,0,0.0222981,596
0.571684711,32,0,0.077475789,3200.0,5,3,0,0,0.0,247.92252480000002,3,1,0,0.6256041,472
0.000336442,34,0,0.159802972,12383.0,7,0,1,0,2.0,1978.840202276,0,0,0,0.00536454,637
0.018098652,81,0,0.095803395,9602.0,7,0,0,0,0.0,919.90419879,0,0,0,0.0147450855,608
0.961759306,55,2,0.367873723,5384.0,7,0,1,1,2.0,1980.632124632,3,2,1,0.5353493,483
0.0,34,0,0.305157919,4400.0,8,0,1,0,1.0,1342.6948436,0,0,0,0.014768963,608
1.0,48,0,0.466785159,4500.0,18,0,1,0,0.0,2100.5332155,0,2,0,0.2149605,524
0.9999999,38,0,0.040274207,3500.0,1,2,0,0,1.0,140.9597245,2,2,0,0.5811001,477
0.123238967,57,0,0.011065191,7500.0,4,0,0,0,1.0,82.9889325,0,0,0,0.03606844,581
0.055491395,39,0,2994.0,5400.0,5,0,1,0,0.0,16167600.0,0,0,0,0.044725306,575
0.353738474,65,0,0.379633902,6500.0,6,0,1,0,0.0,2467.620363,0,1,0,0.023766771,594
0.006816847,67,0,0.416597234,6000.0,13,0,3,0,0.0,2499.583404,0,0,0,0.01258537,612
0.0,63,0,0.161207484,19080.0,7,0,1,0,1.0,3075.8387947200004,0,0,0,0.0024196992,660
0.306615667,53,0,0.320165813,4100.0,7,0,1,0,1.0,1312.6798333000002,0,1,0,0.04154174,577
1.0,33,2,0.111083622,4041.0,3,0,0,1,0.0,448.88891650200003,3,2,1,0.3930213,499
0.053353566,45,0,0.159034715,10110.0,11,0,1,0,3.0,1607.84096865,0,0,0,0.013822586,610
0.085884528,72,0,37.0,5400.0,4,0,0,0,0.0,199800.0,0,0,0,0.035615213,582
0.961006499,52,0,0.444357367,3827.0,4,0,1,0,0.0,1700.555643509,0,2,0,0.17899302,531
0.301214642,62,1,0.550064277,7000.0,17,0,2,0,0.0,3850.4499390000005,1,1,0,0.036981843,581
0.9999999,65,0,0.165706974,3125.0,5,0,1,0,0.0,517.83429375,0,2,0,0.009694197,620
0.05187958,84,0,0.098816864,6000.0,10,0,1,0,0.0,592.9011840000001,0,0,0,0.0022264079,663
0.52710085,50,3,0.467539553,5498.0,15,1,1,1,1.0,2570.532462394,5,1,1,0.7057152,461
0.034055506,85,1,0.01076509,2600.0,9,0,0,0,0.0,27.989234,1,0,0,0.154624,536
0.236010581,43,0,0.794037448,5500.0,15,0,4,0,2.0,4367.205964,0,0,0,0.22202685,523
0.001882132,35,1,0.330762639,5834.0,5,0,1,0,4.0,1929.669235926,1,0,1,0.018534798,601
0.006415907,33,0,2187.0,5400.0,6,0,2,0,0.0,11809800.0,0,0,0,0.017095331,604
0.703627004,37,1,1.237175217,1500.0,8,0,1,0,4.0,1855.7628255000002,1,2,0,0.0619214,565
0.472849007,67,0,0.300560275,5532.0,7,0,2,0,0.0,1662.6994413,0,1,0,0.0081429705,625
0.9999999,57,0,2742.0,5400.0,5,0,1,0,0.0,14806800.0,0,2,0,0.11644461,545
0.048850024,57,0,0.327686754,3600.0,11,0,1,0,1.0,1179.6723144,0,0,0,0.042398494,577
0.981023446,32,0,0.306117591,4200.0,8,0,0,0,1.0,1285.6938822000002,0,2,0,0.3146736,509
0.319961366,36,0,991.0,5400.0,8,0,0,0,1.0,5351400.0,0,1,0,0.028333502,589
0.978469083,39,3,0.500466604,7500.0,14,0,2,0,2.0,3753.49953,3,2,0,0.55133677,481
0.071783151,66,0,0.016995751,4000.0,5,0,0,0,0.0,67.983004,0,0,0,0.02514338,592
0.568847926,49,0,0.163307412,6300.0,5,0,1,0,0.0,1028.8366956,0,1,0,0.047630463,573
0.120196566,61,0,0.240344957,8000.0,8,0,1,0,0.0,1922.759656,0,0,0,0.07448987,559
0.05326617,77,1,0.547745225,10000.0,23,0,4,0,0.0,5477.45225,1,0,0,0.09710064,551
0.022693713,79,0,318.0,5400.0,6,0,0,0,0.0,1717200.0,0,0,0,0.005794401,635
0.952349217,46,0,0.197001249,2400.0,4,0,0,0,0.0,472.80299759999997,0,2,0,0.5234154,484
0.064749945,66,0,0.14706417,5500.0,8,0,2,0,0.0,808.852935,0,0,0,0.015783146,606
0.032389762,68,0,1431.0,5400.0,8,0,1,0,0.0,7727400.0,0,0,0,0.007447051,628
0.02413419,61,0,0.341996129,3616.0,11,0,1,0,1.0,1236.658002464,0,0,0,0.027446084,590
0.016687473,50,0,0.064738524,5946.0,5,0,0,0,3.0,384.935263704,0,0,0,0.011456154,615
0.001829231,63,0,11.0,5400.0,10,0,0,0,0.0,59400.0,0,0,0,0.009438862,621
0.0,42,1,0.442820658,7047.0,12,0,3,0,2.0,3120.557176926,1,0,0,0.025972933,591
0.253438263,54,0,0.577526534,4333.0,16,0,1,0,0.0,2502.422471822,0,0,0,0.19399758,528
0.186554536,40,0,2284.0,5400.0,6,0,1,0,0.0,12333600.0,0,0,0,0.20757037,525
0.478152839,42,0,3127.0,5400.0,7,0,2,0,7.0,16885800.0,0,1,0,0.012924438,612
0.546625459,40,1,0.098308891,14250.0,4,1,0,0,0.0,1400.90169675,2,1,1,0.16404843,534
0.314367508,51,1,0.28897466,11917.0,13,0,2,0,2.0,3443.71102322,1,1,0,0.03451875,583
0.056930751,58,0,0.238195756,9000.0,10,0,1,0,3.0,2143.761804,0,0,0,0.016289026,605
0.443413437,46,0,0.623415882,8600.0,7,0,2,0,4.0,5361.3765852,0,1,0,0.044658355,575
0.093974603,33,0,0.368527406,7917.0,12,0,1,0,0.0,2917.631473302,0,0,0,0.09975706,550
0.9999999,27,0,373.0,5400.0,4,0,0,0,0.0,2014200.0,0,2,0,0.26666886,516
0.016543069,36,0,0.169318483,7541.0,6,0,2,0,3.0,1276.830680303,0,0,0,0.010408309,618
0.991923853,43,1,0.310990242,6250.0,9,0,1,0,3.0,1943.6890124999998,1,2,0,0.19628647,527
0.876086455,48,0,1.057471264,2000.0,3,0,1,0,2.0,2114.942528,0,2,0,0.17958494,530
0.839907542,29,0,364.0,2.0,8,0,0,0,0.0,728.0,0,2,0,0.031255934,586
0.027136493,57,0,0.251124813,6000.0,25,0,2,0,0.0,1506.748878,0,0,0,0.008212473,625
0.075849847,68,0,4190.0,5400.0,15,0,1,0,2.0,22626000.0,0,0,0,0.01105621,616
0.951209758,36,0,0.061445262,2310.0,2,0,0,0,2.0,141.93855522,0,2,0,0.43724728,494
0.479507032,54,0,0.847180748,5692.0,10,0,2,0,0.0,4822.152817616,0,1,0,0.117796324,545
0.016599078,82,0,19.0,0.0,5,0,0,0,0.0,0.0,0,0,0,0.0026184455,658
0.047634491,63,0,0.041983207,2500.0,9,0,0,0,0.0,104.9580175,0,0,0,0.07470281,559
0.138763894,57,1,0.13865901,5920.0,13,0,0,0,1.0,820.8613392,1,0,0,0.11586758,545
0.373905821,63,1,0.30333855,3833.0,8,0,1,0,0.0,1162.6966621499998,1,1,0,0.046643805,574
0.000621749,52,0,0.237327546,12901.0,10,0,2,0,3.0,3061.762670946,0,0,0,0.012487976,613
0.0,65,1,0.515065757,6006.0,17,0,2,0,0.0,3093.484936542,1,0,0,0.027642727,589
0.792219085,48,3,0.786014266,15000.0,25,0,3,0,0.0,11790.21399,3,2,0,0.5044131,486
0.961610637,50,0,0.201680672,8210.0,13,0,0,0,1.0,1655.79831712,0,2,0,0.1201189,544
0.233301655,71,0,0.20417685,4500.0,11,0,1,0,0.0,918.7958249999999,0,0,0,0.045255203,575
0.873481732,42,0,0.53873267,12766.0,11,0,3,0,0.0,6877.46126522,0,2,0,0.2670272,516
0.95566447,53,0,0.564831261,1688.0,6,0,0,0,0.0,953.435168568,0,2,0,0.6000865,475
0.9999999,44,1,0.876712329,8102.0,5,0,2,0,2.0,7103.123289558,1,2,0,0.27910003,514
0.30428262,32,0,0.274722886,4600.0,8,0,1,0,0.0,1263.7252756,0,1,0,0.041065138,578
0.99340066,32,0,0.120646559,6000.0,3,0,0,0,2.0,723.879354,0,2,0,0.28945667,513
0.491954789,32,0,0.177573167,3040.0,10,0,0,0,1.0,539.82242768,0,1,0,0.073008984,560
0.100273342,39,0,0.447159317,5033.0,5,0,1,0,0.0,2250.552842461,0,0,0,0.10561192,548
0.658606265,41,0,0.331726477,5600.0,11,0,1,0,3.0,1857.6682712000002,0,1,0,0.035741027,582
0.001519711,43,0,0.380680296,11200.0,8,0,2,0,2.0,4263.6193152,0,0,0,0.01944217,600
0.726810267,61,0,0.219839008,20000.0,21,0,2,0,0.0,4396.78016,0,2,0,0.034538887,583
0.127797517,46,0,1.663941871,1100.0,6,0,1,0,0.0,1830.3360581,0,0,0,0.1728755,532
0.03050621,63,0,9486.0,5400.0,8,0,1,0,0.0,26384400.0,0,0,0,0.022431588,596
0.015545339,49,0,1452.0,5400.0,6,0,1,0,0.0,7840800.0,0,0,0,0.013656637,610
0.0,63,0,0.502165945,3000.0,6,0,1,0,0.0,1506.497835,0,0,0,0.016511915,605
0.018805187,64,0,0.003857033,11666.0,11,0,0,0,0.0,44.996146978,0,0,0,0.013718022,610
0.050117159,53,0,1237.0,0.0,10,0,1,0,0.0,0.0,0,0,0,0.021929557,596
0.0,63,0,0.464764692,4100.0,6,0,1,0,0.0,1905.5352372,0,0,0,0.007548466,627
0.211747398,49,0,0.573242342,6300.0,27,0,2,0,3.0,3611.4267546,0,0,1,0.027983835,589
0.79487448,62,0,1.233797698,1650.0,6,0,1,0,0.0,2035.7662017,0,2,0,0.17005268,532
0.013215652,77,0,0.195025856,4060.0,11,0,1,0,0.0,791.80497536,0,0,0,0.0019920196,666
0.03125625,52,0,0.28314431,5113.0,16,0,1,0,0.0,1447.71685703,0,0,0,0.046365954,574
0.327194711,38,1,0.317396837,5500.0,13,0,1,1,2.0,1745.6826035,2,1,0,0.05987497,566
0.443951605,43,0,0.457095019,7166.0,11,0,2,1,1.0,3275.542906154,1,1,0,0.16921265,533
0.014836094,58,0,0.417350528,4264.0,4,0,2,0,0.0,1779.582651392,0,0,0,0.012388031,613
0.109849385,41,0,0.602839277,5916.0,9,0,2,0,1.0,3566.3971627319997,0,0,0,0.09636963,551
0.146065687,63,0,56.0,5400.0,1,0,0,0,0.0,302400.0,0,0,0,0.043644078,576
0.234510326,23,0,0.143958869,2333.0,2,0,0,0,0.0,335.856041377,0,0,1,0.08223213,556
0.579772046,42,0,0.482827609,5997.0,10,0,1,0,1.0,2895.517171173,0,1,0,0.25783217,517
0.216997027,72,0,1960.0,5400.0,13,0,1,0,0.0,10584000.0,0,0,0,0.04702702,573
0.058996067,70,0,0.009430997,3180.0,5,0,0,0,0.0,29.99057046,0,0,0,0.022737017,595
0.352664734,35,0,0.346059449,11000.0,5,0,2,0,1.0,3806.6539390000003,0,1,0,0.031686366,585
0.067080488,52,0,0.478336772,6300.0,6,0,2,0,0.0,3013.5216636,0,0,0,0.06929993,562
0.794554235,52,0,0.332681468,8692.0,8,0,1,0,0.0,2891.6673198559997,0,2,0,0.15755856,535
0.001450122,47,0,0.488151185,10000.0,7,0,2,0,0.0,4881.51185,0,0,0,0.025524419,592
0.108493973,43,0,1120.0,5400.0,9,0,1,0,5.0,6048000.0,0,0,0,0.0069358824,630
0.021349466,39,0,0.091954023,2000.0,3,0,0,0,0.0,183.90804599999998,0,0,0,0.026188122,591
0.049189039,46,0,850.0,5400.0,9,0,1,0,0.0,4590000.0,0,0,0,0.034412924,583
0.0,32,0,0.538048344,3350.0,3,0,1,0,2.0,1802.4619524,0,0,0,0.041055374,578
0.027510593,79,0,110.0,5400.0,6,0,1,0,0.0,594000.0,0,0,0,0.0049505383,640
0.054681884,60,1,0.162078756,8100.0,16,0,0,0,1.0,1312.8379235999998,1,0,0,0.17468849,531
0.119040018,42,0,0.43375481,5456.0,12,0,2,0,0.0,2366.56624336,0,0,0,0.11340336,546
0.992308876,55,0,2.19502244,2450.0,8,0,3,0,0.0,5377.804977999999,0,2,0,0.49289596,487
1.0,50,0,0.431104593,15000.0,11,0,2,1,2.0,6466.568894999999,1,2,1,0.3881323,500
0.101018899,52,0,0.234858553,5266.0,11,0,1,0,2.0,1236.765140098,0,0,0,0.051959362,570
0.454220826,78,0,0.873533246,2300.0,7,0,1,0,2.0,2009.1264658,0,1,0,0.051274102,571
0.531128005,46,0,1.095115681,2333.0,8,0,1,0,2.0,2554.904883773,0,1,0,0.12760489,542
0.057844296,51,0,402.0,5400.0,8,0,1,1,0.0,2170800.0,1,0,0,0.1425566,538
0.9999999,24,98,0.0,1488.0,0,98,0,98,0.0,0.0,294,2,0,0.8185847,443
0.372853466,32,0,0.081205783,3250.0,3,0,0,0,0.0,263.91879475,0,1,0,0.050762005,571
0.381146021,73,0,0.13871155,12060.0,7,0,1,0,0.0,1672.861293,0,1,0,0.004386,643
0.0,42,3,0.05365561,11666.0,5,1,0,0,3.0,625.94634626,4,0,0,0.3354703,506
0.0358056,62,0,0.268891446,7820.0,27,0,1,0,0.0,2102.7311077199997,0,0,0,0.011068062,616
0.000457448,64,0,0.266348888,11957.0,21,0,2,0,0.0,3184.7336538160002,0,0,0,0.006964194,630
0.011613774,37,0,2.0,5400.0,5,0,0,0,0.0,10800.0,0,0,0,0.060409296,566
0.001241337,78,0,4.0,5400.0,4,0,0,0,0.0,21600.0,0,0,0,0.01290365,612
0.70643119,28,2,0.232255915,3000.0,4,0,0,1,0.0,696.767745,3,2,1,0.39054987,499
0.019699343,53,0,0.290841965,9750.0,10,0,1,0,3.0,2835.70915875,0,0,0,0.016713204,604
0.001978771,78,0,1.013231403,3400.0,19,0,2,0,1.0,3444.9867702,0,0,0,0.022164758,596
0.126879711,43,0,1.256092608,4923.0,16,0,5,0,0.0,6183.743909184001,0,0,0,0.5565146,480
0.0,72,0,542.0,5400.0,7,0,1,0,0.0,2926800.0,0,0,0,0.0028893778,655
0.032183055,52,0,0.046558126,3500.0,5,0,0,0,0.0,162.953441,0,0,0,0.038550857,579
0.016486189,76,0,0.170522708,3500.0,10,0,0,0,1.0,596.829478,0,0,0,0.028583894,588
0.658039032,60,0,0.307669233,10000.0,8,0,1,0,0.0,3076.69233,0,1,0,0.020469869,598
0.117979534,68,0,0.011349433,20000.0,4,0,0,0,1.0,226.98866,0,0,0,0.014084668,609
0.026839511,54,0,0.190356714,9166.0,13,0,1,0,2.0,1744.809640524,0,0,0,0.010713419,617
0.045842965,47,0,2.82112069,927.0,5,0,2,0,2.0,2615.1788796299998,0,0,0,0.010413698,618
0.878880524,61,1,0.950642674,3889.0,19,0,1,0,1.0,3697.049359186,1,2,0,0.37753895,501
0.416989868,62,0,3232.0,5400.0,11,0,2,0,0.0,17452800.0,0,1,0,0.042466637,577
0.05024686,57,0,0.246786632,3500.0,4,0,1,0,0.0,863.7532120000001,0,0,0,0.011984118,614
0.155742213,39,0,723.0,0.0,13,0,0,0,2.0,0.0,0,0,0,0.021550119,597
0.513087465,35,1,261.0,5400.0,3,0,0,0,0.0,1409400.0,1,1,0,0.2316714,521
0.015625724,78,1,0.011208725,3300.0,11,0,0,0,0.0,36.988792499999995,1,0,0,0.23916082,520
0.224975791,35,1,0.415152554,8750.0,15,0,3,1,0.0,3632.5848475000003,2,0,0,0.31638318,509
0.056250418,30,0,0.523825392,3000.0,7,0,2,0,0.0,1571.476176,0,0,0,0.019373126,600
0.16495876,56,4,0.201905701,6086.0,9,0,1,4,2.0,1228.798096286,8,0,0,0.17848942,531
0.014887222,56,0,0.164786817,12500.0,5,0,1,0,0.0,2059.8352125,0,0,0,0.004118792,645
0.004288762,41,0,0.346665098,8500.0,16,0,2,0,1.0,2946.653333,0,0,0,0.04734407,573
0.095616441,67,0,0.081833453,8333.0,15,0,0,0,0.0,681.918163849,0,0,0,0.048249874,573
0.011346227,84,0,0.006997201,5001.0,14,0,0,0,0.0,34.993002200999996,0,0,0,0.038797036,579
0.065330898,72,0,0.042383047,2500.0,8,0,0,0,0.0,105.9576175,0,0,0,0.06089661,566
0.269058449,80,0,2989.0,5400.0,10,0,2,0,0.0,16140600.0,0,0,0,0.058629148,567
0.275776498,62,0,0.181737392,4500.0,13,0,0,0,0.0,817.818264,0,0,1,0.12371892,543
0.113617888,63,0,0.119415686,7050.0,8,0,1,0,0.0,841.8805863,0,0,0,0.02016998,599
0.433504427,35,1,0.432302082,8500.0,12,0,2,0,0.0,3674.567697,1,1,0,0.12368731,543
0.066333397,25,0,0.001809955,5524.0,2,0,0,0,0.0,9.99819142,0,0,0,0.089298226,554
0.0,83,0,0.008377246,7400.0,7,0,0,0,0.0,61.991620399999995,0,0,0,0.02755432,589
0.048485247,45,0,0.297207761,12677.0,8,0,2,0,3.0,3767.702786197,0,0,0,0.0073727,628
0.043626719,54,0,1189.0,5400.0,3,0,1,0,0.0,6420600.0,0,0,0,0.015726825,606
0.752462377,50,0,2981.0,5400.0,2,0,1,0,2.0,16097400.0,0,2,0,0.05249187,570
0.876301412,56,0,465.0,5400.0,3,0,0,0,0.0,2511000.0,0,2,0,0.5499512,481
0.496875156,38,2,0.1444548,4291.0,7,0,1,0,0.0,619.8555468,2,1,0,0.14383316,538
0.038382443,66,0,0.203229399,7183.0,7,0,1,0,0.0,1459.796773017,0,0,0,0.018671224,601
0.18910676,64,0,2097.0,5400.0,13,0,2,0,0.0,11323800.0,0,0,0,0.06211865,565
0.0,54,0,5414.0,5400.0,19,0,4,0,0.0,26384400.0,0,0,0,0.02783264,589
